Genes,Sample,dCt
A,Con,1.9512200227154057
A,Res,2.3550350319073305
A,Sus,5.543848308833372
B,Con,1.4469618395470973
B,Res,0.925319190075936
B,Sus,7.1013686096296835
C,Con,7.577533411946976
C,Res,6.191441626478654
C,Sus,10.170058078082885
E,Con,1.0084936212905802
E,Res,0.3673474041515252
E,Sus,2.1395559403854243
F,Con,6.869495493067909
F,Res,5.510885570907632
F,Sus,8.02033574973535
